Pool,Day,Time,Event
Conestoga,Monday,11:30a-1:00p,Family Swim -L
Conestoga,Monday,4:15p-5:15p,Open Swim -M/L
Conestoga,Monday,7:45p-9:00p,Open Swim -M/L
Conestoga,Tuesday,11:30a-1:00p,Family Swim -L
Conestoga,Tuesday,7:30p-9:00p,Open Swim -M/L
Conestoga,Wednesday,11:30a-1:00p,Family Swim -L
Conestoga,Wednesday,4:15p-5:15p,Open Swim -M/L
Conestoga,Wednesday,7:45p-9:00p,Open Swim -M/L
Conestoga,Thursday,11:30a-1:00p,Family Swim -L
Conestoga,Thursday,7:30p-9:00p,Open Swim -M/L
Conestoga,Friday,11:30a-1:00p,Family Swim -L
Conestoga,Friday,4:00p-5:30p,Open Swim -M/L
Conestoga,Friday,6:30p-8:30p,Open Swim -M/L
Conestoga,Saturday,12:00p-1:15p,Family Swim -L
Conestoga,Saturday,1:30p-4:15p,Open Swim -M/L
Conestoga,Saturday,4:30p-6:00p,Family Swim -L
Conestoga,Sunday,10:00a-12:00p,Family Swim -L
Conestoga,Sunday,2:00p-4:15p,Open Swim -M/L
Conestoga,Sunday,4:30p-6:00p,Family Swim -L
Beaverton,Monday,1:00p-2:30p,Open Swim All Age Lap Swim (3 lanes)
Beaverton,Tuesday,10:45a-1:00p,Open Swim All Age Lap Swim (3 lanes)
Beaverton,Tuesday,1:00p-2:30p,Open Swim All Age Lap Swim (3 lanes)
Beaverton,Wednesday,1:00p-2:30p,Open Swim All Age Lap Swim (3 lanes)
Beaverton,Thursday,10:45a-1:00p,Open Swim All Age Lap Swim (3 lanes)
Beaverton,Thursday,1:00p-2:30p,Open Swim All Age Lap Swim (3 lanes)
Beaverton,Friday,1:00p-2:30p,Open Swim All Age Lap Swim (3 lanes)
Beaverton,Saturday,2:00p-4:00p,Open Swim All Age Lap Swim (2 lanes)
Beaverton,Sunday,2:00p-4:00p,Open Swim All Age Lap Swim (2 lanes)
Aloha,Monday,1:05p-2:20p,Open Swim (deep end closed 1:35-2:20)
Aloha,Monday,7:50p-8:25p,Open Swim
Aloha,Tuesday,1:05p-2:20p,Open Swim
Aloha,Tuesday,7:50p-8:50p,Open Swim (Limited Lanes)
Aloha,Wednesday,1:05p-2:20p,Open Swim (deep end closed 1:35-2:20)
Aloha,Wednesday,7:50p-8:25p,Open Swim
Aloha,Thursday,1:05p-2:20p,Open Swim
Aloha,Thursday,7:50p-8:50p,Open Swim (Limited Lanes)
Aloha,Friday,1:05p-2:20p,Open Swim (deep end closed 1:35-2:20)
Aloha,Friday,7:50p-8:25p,Open Swim
Aloha,Saturday,10:15a-12:50p,Open Swim/ Winter Wipeout!
Aloha,Sunday,2:00p-4:00p,Open Swim
Harman,Monday,2:00p-3:00p,Open Swim*
Harman,Monday,4:25p-5:30p,Open Swim*
Harman,Monday,7:30p-8:55p,Open Swim
Harman,Tuesday,9:30a-10:25a,Family Swim*
Harman,Tuesday,2:00p-3:10p,Open Swim*
Harman,Tuesday,4:25p-5:10p,Open Swim*
Harman,Tuesday,7:00p-8:30p,Family Swim*
Harman,Wednesday,2:00p-3:00p,Open Swim*
Harman,Wednesday,4:25p-5:30p,Open Swim*
Harman,Wednesday,7:30p-8:55p,Open Swim
Harman,Thursday,9:30a-10:25a,Family Swim*
Harman,Thursday,2:00p-3:10p,Open Swim*
Harman,Thursday,4:25p-5:10p,Open Swim*
Harman,Thursday,7:00p-8:30p,Family Swim*
Harman,Friday,2:00p-4:55p,Open Swim*
Sunset,Tuesday,10:15a-11:30a,Open Swim/Senior Swim/One Lap Lane
Sunset,Tuesday,1:00p-2:30p,Open Swim/One Lap Lane
Sunset,Thursday,10:15a-11:30a,Open Swim/Senior Swim/One Lap Lane
Sunset,Thursday,1:00p-2:30p,Open Swim/One Lap Lane
Sunset,Sunday,1:00p-2:30p,Open Swim
Tualatin Hills,Monday,7:35p-9:00p,Open Swim-Diving area opens at 8pm
Tualatin Hills,Wednesday,7:35p-9:00p,Open Swim-Diving area opens at 8pm
Tualatin Hills,Friday,7:35p-9:00p,Open Swim-Diving area opens at 8pm
Tualatin Hills,Saturday,1:30p-3:30p,Open swim
Tualatin Hills,Saturday,4:00p-6:00p,Open Swim
Tualatin Hills,Sunday,1:30p-3:30p,Open swim
Tualatin Hills,Sunday,4:00p-6:00p,Open Swim
